page,result,general_result,marriage_result,trade_result,category,label
1,حتما انجام بده,بسیار خوب است با توکل به خدا اقدام نمایید.,این ازدواج از هر جهت مناسب است به امید خدا اقدام نمایید ان‌شاءالله که عاقبت‌به‌خیر می‌شوید.,بسیار خوب و پر نفع خواهد بود و ان‌شاءالله سود خوبی عایدتان خواهد شد.,2,VeryGood
3,انجام نده,بد است و در صورت انجام به‌شدت پشیمان خواهید شد.,این ازدواج آینده‌ی خوبی ندارد و با سختی و مشکلات زیادی روبرو خواهید شد و عاقبت خوبی ندارد.,در این معامله منفعتی وجود ندارد و در صورت انجام دچار ضرر و زیان خواهید شد.,-1,Bad
5,حتما انجام بده,بسیار خوب است و از انجام آن استفاده‌ی زیادی خواهید برد .,در این ازدواج خیر و برکت وجود دارد و با انجام آن ان‌شاءالله عاقبت بخیر و خوشبخت خواهید بود.,در این معامله منفعت زیادی خواهید برد با حفظ موازین شرعی معامله را انجام دهید تا در دنیا و آخرت سعادت‌مند شوید.,2,VeryGood
7,اختیار با توست,میانه است در صورت اصرار به انجام حتما صدقه دهید و با مشورت با افراد خبره اقدام نمایید.,عجله نکنید از این مورد بهتر هم نصیب شما خواهد شد .,صبر کنید انجام این معامله آن‌چنان هم که فکر می‌کنید تعریفی ندارد در صورت اصرار به انجام آن صدقه دهید و با افراد خبره مشورت نمایید.,0,Neutral
9,انجام نده,بد است و انجام آن جز پشیمانی و ندامت چیزی بدنبال ندارد.,اختلافات زیادی اتفاق می‌افتد و دچار مشکلات روحی و روانی زیادی خواهید شد.,ضرر و زیان ناشی از انجام آن زیاد است و مشکلات زیادی به همراه دارد.,-1,Bad
11,انجام نده,بد است و انجام آن جز پشیمانی و ندامت چیزی بدنبال ندارد.,مشکلات زیادی بر سر راه شما پیش خواهد آمد این ازدواج به‌هیچ‌وجه به صلاح شما نیست.,در این معامله فریب و نیرنگ زیاد است انجام ندهید.,-1,Bad
13,انجام نده,بد است انجام آن به ضرر شما خواهد بود و پشیمان خواهید شد.,به‌شما دروغ می‌گویند و به تعهدات خود عمل نمی‌کنند این ازدواج به صلاح شما نیست باور کنید.,به تعهدات خود عمل نمی‌کنند و دچار ضرر و زیان خواهید شد.,-1,Bad
15,انجام نده,بد است در صورت انجام پشیمان خواهید شد لذا ترک شود.,با ظاهر افراد نمی‌توان قضاوت کرد و در صورت انجام به‌شدت پشیمان خواهید شد.,این معامله آن گونه که فکر می‌کنید منفعتی ندارد و حتی دچار ضرر خواهید شد ترک کنید.,-1,Bad
17,انجام نده,بد است صبر کنید و صدقه دهید و بدانید که خداوند بر هر کاری قادر و توانا است.,عجله نکنید مورد بهتری نصیب شما خواهد شد به‌خدا توکل کنید.,صبر کنید از این معامله بهتر به شما پیشنهاد می‌شود.,-1,Bad
19,انجام نده,بد است زحمت بیهوده می‌کشی و فایده‌ای نخواهی برد.,مورد مناسبی نیست و دچار اختلاف خواهید شد ترک شود.,بد است طرفهای شما قصد فریب شما را دارند و به شما ضرر خواهد رساند.,-1,Bad
21,انجام نده,بد است و با عمل‌کردن به آن چیزی عایدتان نمی‌شود.,اخلاق و فرهنگ خانواده‌ها بهم نمی‌خورد از اول سنگهای خود را با هم وا کنید و الا انجام ندهید بهتر است.,آن‌چنان هم که می گویند تعریفی ندارد کار خودت را بکن و از این معامله صرف نظر کن.,-1,Bad
23,انجام نده,بد است مطلبی وجود دارد که از شما مخفی مانده است اقدام نکنید که پشیمان می‌شوید.,مطلب مهمی را از شما مخفی می‌کنند ازدواج به صلاح نیست صبر کنید و به‌خدا توکل کنید.,موضوعی را از شما پنهان می‌کنند از این معامله صرف نظر کنید و به‌خدا توکل کنید.,-1,Bad
25,انجام بده,خوب است ولی با احتیاط و مطالعه نسبت به انجام آن اقدام کنید.,با تحقیق و مطالعه اقدام کن ان‌شاءالله خوب است صدقه فراموش نشود.,پس از مشورت با افراد خبره و با صبر و تامل اقدام کن ان‌شاءالله خوب است و صدقه فراموش نشود.,1,Good
27,انجام بده,خوب است با توکل به‌خدا و ائمه معصومین و دادن صدقه اقدام کنید.,با رعایت موازین شرعی اقدام کنید تا به گناه آلوده نشوید صدقه فراموش نشود.,با دادن صدقه و رعایت موازین شرعی اقدام کنید ان‌شاءالله خوب است و منفعت می‌برید.,1,Good
29,انجام بده,خوب است با رعایت موازین شرعی اقدام کنید.,ان‌شاءالله که مبارک است با حفظ موازین شرعی اقدام نمایید.,خوب است با توکل به‌خدا اقدام نمایید ان‌شاءالله منفعت خواهید برد.,1,Good
31,انجام بده,خوب است زحمت دارد ولی اجر و منفعت شما بر زحمتش برتری دارد.,با حفظ موازین شرعی اقدام کن ان‌شاءالله عاقبت‌به‌خیر می‌شوی.,هر چند قدری سختی می‌کشی ولی معامله‌ی پر منفعتی است.,1,Good
33,هرگز انجام نده,بسیار بد است هرگز انجام ندهید پشیمان می‌شوید.,هیچ‌کدام از آرزوهایت تحقق نخواهد یافت و به سختی و مشقت غیر قابل ذکری دچار خواهید شد ترک کنید.,با فریب و نیرنگ روبرو می‌شوید و ضرری هنگفت را متحمل می‌شوید انجام ندهید.,-2,VeryBad
35,اختیار با توست,میانه است با رعایت شرایط و مقدمات خوب است و الا انجام ندهید.,همه جوانب را بسنجید اگر مساعد بود انجام دهید و الا ترک نمایید.,با مطالعه و مشورت با افراد خبره و رعایت موازین شرعی اقدام کنید در غیر این صورت انجام ندهید.,0,Neutral
37,انجام نده,بد است با انجام دچار مشقت و گرفتاری می‌شوید ترک کنید که پشیمانی دارد.,آینده‌ی خوبی در انتظارتان نیست ترک کنید و گرنه به طلاق و جدایی کشیده می‌شود,در این معامله منفعتی وجود ندارد ترک کنید که پشیمانی دارد.,-1,Bad
39,انجام بده,خوب است زحمت دارد ولی به زحمتش می‌ارزد.,اولش کمی دچار مشقت و سختی می‌شوید ولی عاقبت‌به‌خیر خواهید شد.,با کمی سختی و زحمت مواجه می‌شوید ولی ان‌شاءالله سود خوبی خواهید برد.,1,Good
41,انجام نده,بد است وسط کار به مشکل می‌خورید و راه پس و پیش ندارید.,آدمهای مطمئنی نیستند و نمی‌شود برای زندگی به آنها تکیه کرد انجام ندهید.,به تعهدات عمل نمی‌شود و ضرر می‌کنید ترک شود.,-1,Bad
43,انجام نده,بد است دچار ندامت و پشیمانی خواهید شد ولی وقتی که فایده‌ای ندارد ترک شود.,گول ظاهر افراد را نخورید به بدبختی و فلاکت می‌افتید حتما ترک شود.,اگر چه اولش به ظاهر خوب است ولی ضرر حیثیتی و مالی زیادی به شما خواهد شد.,-1,Bad
45,انجام بده,خوب است با حفظ موازین شرعی اقدام کنید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,خوب است ان‌شاءالله عاقبت‌به‌خیر خواهید شد.,خوب است صدقه دهید و با توکل به‌خداانجام دهید ان‌شاءالله سود خوبی خواهید برد.,1,Good
47,هرگز انجام نده,بسیار بد است به حرام می‌افتید و دچار مشکلات زیادی خواهید شد.,به گناه و حرام می‌افتید به‌شدت دوری کنید و به‌خدا توکل کنید.,بین تجارت سالم و رباخواری فرق بسیار است خود را فریب ندهید.,-2,VeryBad
49,انجام بده,خوب است ولی جانب احتیاط را رعایت کنید سپس اقدام کنید که بعدها پشیمان نشوید.,حرفهایتان را اول کار تمام کنید و بعدا اقدام کنید سپس اقدام کنید که بعدها پشیمان نشوید.,دقت کنید و معامله را سفت و محکم کنید سپس انجام دهید.,1,Good
51,هرگز انجام نده,بسیار بد است انجام ندهید که به‌شدت  پشیمان خواهید شد.,بجز بدبختی و پشیمانی چیزی نصیبتان نخواهد شد حتما ترک شود.,در این کار غیر از ضرر و بدبختی چیزی وجود ندارد به‌هیچ وجه انجام ندهید.,-2,VeryBad
53,انجام نده,بد است حرف شما پیش نمی‌رود و ضرر می‌کنید ترک کنید.,در شأن شما نیستند باعث اذیت و آزار شما می‌شوند فراموششان کنید.,شما را فریب می‌دهند و سرتان کلاه می‌گذارند انجام ندهید.,-1,Bad
55,حتما انجام بده,بسیار خوب است با توکل به‌خدا اقدام کن ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,فرزندان صالحی نصیبتان خواهد شد ان‌شاءالله که مبارک باشد.,سود و منفعت زیادی می‌بری ان‌شاءالله .,2,VeryGood
57,انجام بده,خوب است با توکل به‌خدا و ائمه معصومین انجام بده ان‌شاءالله موفق خواهید شد.,ان‌شاءالله که مبارک است اقدام کن نمازت را اول وقت بخوان و صدقه بده.,با حفظ موازین شرعی انجام بده ان‌شاءالله سود خوبی می‌بری.,1,Good
59,انجام نده,بد است در آن فریب و نیرنگ است به‌هیچ‌وجه انجام ندهید که پشیمان خواهید شد.,چیزی را از شما کتمان می‌کنند و به شما دروغ می‌گویند ازدواج مناسبی نیست صبر کنید مورد بهتری نصیبتان خواهد شد.,بشما دروغ می گویند و مواردی از معامله را از شما پنهان می‌کنند ضرر می‌کنی.,-1,Bad
61,انجام بده,خوب است با حفظ موازین شرعی اقدام کنید ان‌شاءالله در کارتان موفق خواهید شد.,ان‌شاءالله که مبارک است صدقه زیاد بدهید و موازین شرعی را رعایت کنید.,خوب است با توکل به‌خدا اقدام کنید صدقه فراموش نشود.,1,Good
63,حتما انجام بده,بسیار خوب است خدا را در هیچ حال فراموش نکنید.,اقدام کنید مورد خوبی است صدقه فراموش نشود.,ان‌شاءالله پر سود و منفعت خواهد بود اگر خدا را فراموش نکنید.,2,VeryGood
65,هرگز انجام نده,بسیار بد است به‌هیچ‌وجه انجام ندهید که لطمه‌های زیادی خواهید خورد.,در صورت انجام آن چنان پشیمان می‌شوید که دیگر نه راه پیش دارید نه راه پس.,ظاهر بین نباشید ضرر زیادی خواهید کرد از انجامش منصرف شوید.,-2,VeryBad
67,حتما انجام بده,بسیار خوب است در انجام آن تعجیل کنید و در انجام آن حفظ موازین شرعی را رعایت کنید.,با این ازدواج گشایش کار پیدا می‌کنی دو شرط بالا فراموش نشود.,پر منفعت و پر سود است بدو شرط‌یکی آنکه موازین شرعی را رعایت کنی و دوم صدقه‌ی در خوری بدهی.,2,VeryGood
69,انجام نده,بد است دچار ناراحتی زیادی خواهید شد و در راهی قرار می‌گیرید که بازگشتی در آن نیست.,هیچ خوبی و خیری در آن نیست ترک کنید.,به حرام می‌افتید و فریب خواهید خورد ترک کنید.,-1,Bad
71,اختیار با توست,میانه است خوب فکر کن با افراد خبره مشورت کن انجام ندهی بهتر است.,صبر کنید زیاد عجله نکنید مورد بهتری هم نصیبتان می‌شود مشورت کن انجام ندهی بهتر است.,با افراد خبره مشورت کن آن‌چنان هم تعریفی ندارد.,0,Neutral
73,انجام بده,خوب است با حفظ موازین شرعی اقدام کنید ان‌شاءالله به اهدافتان خواهید رسید.,ان‌شاءالله که مبارک است به‌خدا توکل کن و نمازت را اول وقت بخوان ان‌شاءالله عاقبت بخیر می‌شوی.,راستی در معامله و توکل به‌خدا رمز موفقیت است ان‌شاءالله سود خوبی خواهید برد.,1,Good
75,انجام نده,بد است ارزش شما بیش از این است اقدام نکنید.,همسر خوبی برای شما نخواهد بود فراموش کنید.,به شما دروغ می‌گویند و فریبتان می‌دهند انجام ندهید.,-1,Bad
77,حتما انجام بده,بسیار خوب است با توکل به‌خدا اقدام کنید و در هیچ حالتی خدا را فراموش نکنید.,همسر خوبی است از او فرزندان خوبی نیز نصیبتان می‌شود ان‌شاءالله مبارک است.,پر منفعت است صدقه را فراموش نکنید و موازین شرعی را رعایت کنید.,2,VeryGood
79,اختیار با توست,میانه است در صورت اصرار به انجام با مشورت و با احتیاط کامل اقدام کنید والا ترک آن بهتر است.,همه‌ی حرفهایتان را تمام کنید تا اختلافی پیش نیاید و الا صبر کنید ان‌شاءالله مورد بهتری نصیبتان خواهد شد.,با احتیاط و مشورت انجام دهید در غیر این صورت از انجام آن منصرف شوید.,0,Neutral
81,انجام نده,بد است مورد تهمت و بهتان قرار می‌گیرید و پشیمان خواهید شد.,صبر کن خیری در این ازدواج نیست ان‌شاءالله مورد بهتری نصیب خواهد شد.,زیاد به ظاهر توجه نکن ضرر می‌کنی.,-1,Bad
83,انجام نده,بد است به گناه می‌افتی و خیری در آن نیست حتما ترک شود.,بد است و دچار مشکلات و مسائلی می‌شوی که هر لحظه بخود لعنت می‌فرستی ترکش کن.,به حرام می‌افتی و ضرر می‌بینی به‌هیچ‌وجه انجام ندهید.,-1,Bad
85,هرگز انجام نده,بسیار بد است اصلا فکرش را هم نکن افراد ظاهربین ضرر می‌کنند.,ظاهر هر چیز باطنش نیست از فکرش بیرون بیا اصلا مورد مناسبی نیست.,به حرام می‌افتی و ضرر بسیار می‌کنی ظاهر آن با باطنش فرق دارد.,-2,VeryBad
87,هرگز انجام نده,بسیار بد است آبرو و حیثیت شما بر باد می‌رود.,بسیار بد است زندگی نکبت باری خواهی داشت و هر لحظه بخود لعنت می‌فرستی ترکش کن.,آدمهای مکار و فریبکاری هستند اصلا انجام نده.,-2,VeryBad
89,انجام بده,خوب است با صبر و حوصله به نتیجه دلخواه می‌رسی.,هیچ کاری بدون زحمت نیست ولی چیزی که با زحمت بدست آید ارزش دیگری دارد ان‌شاءالله که مبارک است.,با افراد خبره مشورت کن و سپس انجام بده.,1,Good
91,انجام نده,بد است سری که درد نمی‌کند دستمال نمی‌بندند.,به دعوا و درگیری کشیده می‌شود ترک کنید.,ضرر می‌کنید و دچار مشکل می‌شوید ترک کنید.,-1,Bad
93,انجام نده,بد است خطر جانی و مالی دارد انجام ندهید.,خیری در این ازدواج نیست آبرو و حیثیت شما از بین می‌رود.,خطر حیثیتی و آبرویی دارد مالتان از بین می‌رود انجام ندهید.,-1,Bad
95,انجام نده,بد است انجام آن جز پشیمانی چیزی بدنبال ندارد.,این ازدواج به صلاح شما نیست و به شدت پشیمان خواهید شد انجام ندهید.,معامله بی سرانجامی است ترکش کنید.,-1,Bad
97,انجام بده,خوب است با حفظ موازین شرعی و دادن صدقه اقدام کنید.,ان‌شاءالله که مبارک است ۲ شرط بالا فراموش نشود.,مورد پر منفعتی است بشرطی که موازین شرعی را رعایت کنید و صدقه‌ی در خوری بدهید.,1,Good
99,اختیار با توست,میانه‌ی آن خوب است همه‌ی جوانب را در نظر بگیرید سپس انجام دهید و الا ترکش بهتر است.,تحقیق کامل - تمام کردن حرفهایتان و دادن صدقه - سپس ازدواج و إلا صبر کنید بهتر است.,مشورت با اهل خبره و دادن صدقه رمز موفقیت در این کار است و گرنه ترکش بهتر است.,0,Neutral
101,هرگز انجام نده,بسیار بد است به حرام می افتید و ضرر می‌بینید با اشخاص دورویی روبرو می‌شوید که شما را برای رسیدن به اهدافشان لازم دارند.,بسیار بد است شما را گمراه می‌کنند به هیچ وجه انجام ندهید.,شما را فریب می‌دهند و ضرر هنگفتی به شما وارد می‌کنند.,-2,VeryBad
103,هرگز انجام نده,بسیار بد است دچار افراد بسیار بدی خواهید شد ترک کنید.,بسیار بد است اصلا انجام ندهید که به شدت پشیمان خواهید شد.,طرفهای شما آدمهای کلاهبرداری هستند اصلا انجام ندهید.,-2,VeryBad
105,انجام نده,بد است حرف شما پیش نمی‌رود و زمین خواهید خورد.,گول ظواهر را نخورید اصلا ازدواج مناسبی برای شما نیست ترکش کنید.,هر چند در ظاهر معامله‌ی خوبی به نظر می‌رسد ولی چنین نیست و ضرر خواهید کرد.,-1,Bad
107,انجام بده,خوب است با رعایت موازین شرعی.,ان‌شاءالله که مبارک است هیچ گاه خدا را فراموش نکنید.,پرمنفعت است موازین شرعی را رعایت کنید.,1,Good
109,هرگز انجام نده,بسیار بد است انجام ندهید که به‌شدت پشیمان خواهید شد.,عاقبتی جز پشیمانی نخواهد داشت انجام ندهید.,نیرنگ و حقه در کار است اصلا انجام ندهید.,-2,VeryBad
111,انجام نده,بد است و حدیث در می‌آید و پشت شما را خالی می‌کنند.,حرف و حدیث دارد اصلا مناسب شما نیستند ترک کنید.,نفعی ندارد و آن چنان که وعده و وعید می‌دهند نیست ترکش کنید.,-1,Bad
113,انجام نده,بد است خطر آبرویی و جانی دارد ترک نمایید.,به آبروریزی و هتک حرمتش نمی‌ارزد البته اگر جان سالم به در ببرید منصرف شوید.,منجر به دعوا و درگیری می‌شود و ضرر هنگفتی نیز متحمل می‌شوید ترک کنید.,-1,Bad
115,اختیار با توست,میانه است ترک به ثواب نزدیکتر است.,همه‌ی زندگی با مصیبت و بدبختی دست به گریبان خواهید بود ترک کنید.,به حرام خواهید افتاد از این کار دوری کنید.,0,Neutral
117,هرگز انجام نده,بسیار بد است با این کار ناخواسته به حقوق دیگران تجاوز می‌کنید حتما ترک کنید.,اقدام نکنید که به شدت پشیمان خواهید شد.,اقدام نکنید که اصلا به نفع شما نیست و متحمل ضرر خواهید شد.,-2,VeryBad
119,انجام بده,خوب است توکل به‌خدا اقدام کنید ان‌شاءالله به اهدافتان خواهید رسید.,این همان موردی است که نصف دین شما را کامل می‌کند مواظب نصف دیگرش باشید.,خوب است با توکل به‌خدا انجام دهید ان‌شاءالله سود خوبی خواهید برد.,1,Good
121,انجام نده,بد است به حرام می‌افتید انجام ندهید.,این ازدواج به صلاح شما نیست و از دین باز می‌مانید دنبال ظواهر باشید انجام ندهید که به هیچ وجه به صلاح شما نیست.,به حرام خواهید افتاد و هیچ نفعی هم نخواهید برد حتما ترک کنید.,-1,Bad
123,انجام نده,بد است به حرام خواهید افتاد ترک کنید ان‌شاءالله مورد بهتری پیشنهاد خواهد شد.,به گناه خواهید افتاد و طوری گرفتار خواهید شد که هر روز بخود لعنت کنید صبر کنید ان‌شاءالله مورد بهتری نصیبتان خواهد شد.,در این معامله خیری وجود ندارد عجله نکنید موردی با سود خوب در راه است این مورد را به‌هیچ‌وجه انجام ندهید.,-1,Bad
125,انجام نده,بد است با آدمهای احمقی برخورد می‌کنید که حرف، حرف خودشان است. اصلا انجام ندهید.,این مورد اصلا در شأن شما نیست به هیچ وجه اقدام نکنید که پشیمان می‌شوید.,در این معامله برای شما خیری نیست ترک کنید و الا گریبانتان را خواهد گرفت.,-1,Bad
127,حتما انجام بده,بسیار خوب است حتما اقدام کنید صدقه به فقرا فراموش نشود.,ان‌شاءالله که مبارک است حتما اقدام کنید که از هر لحاظ مناسب است صدقه‌‌ی درخوری بدهید.,سود خوبی نصیبتان می‌شود با توکل به‌خدا اقدام کنید فقرا را فراموش نکنید.,2,VeryGood
129,انجام نده,بد است حرف و حدیث زیادی بر پا می‌شود ترک کنید که به صلاح شما نیست.,آنقدر اذیت خواهید شد که از زندگی سیر می‌شوید اقدام نکنید به صلاح شما نیست.,زیاد به ظواهر توجه نکنید اصلا معامله خوبی نیست ترکش کنید.,-1,Bad
131,انجام نده,بد است دروغ و نیرنگ زیادی در این کار است انجام ندهید که پشیمان خواهید شد.,با آدمهای دروغ گویی طرف هستید اصلا انجام ندهید.,فریب و دروغ دیده می‌شود و سر شما کلاه می‌گذارند منصرف شوید.,-1,Bad
133,حتما انجام بده,بسیار خوب است اقدام کنید و برای شروع صدقه بدهید.,ان‌شاءالله که مبارک است مواظب حسودان باشید صدقه فراموش نشود.,ان‌شاءالله پرسود است البته اگر دیگران بگذارند صدقه دهید و با توکل به‌خدا اقدام کنید.,2,VeryGood
135,انجام نده,بد است مشکلات و گرفتاری زیادی دارد و در صورت انجام به‌شدت پشیمان خواهید شد ترک کنید.,زندگی سخت و پر دردسری خواهد بود و روی آسایش را نخواهد دید فراموشش کنید.,بعد از کلی دردسر و اذیت شدن در نهایت ضرر هم می‌کنید انجام ندهید.,-1,Bad
137,انجام نده,بد است تباهی و گمراهی نصیبتان خواهد شد حتما ترک کنید.,در این ازدواج خبری نیست اگر دنبال آبروریزی و دردسر می‌گردید اقدام کنید و الا ترک کنید.,سودی نصیبتان نخواهد شد که هیچ باعث حرف و حدیث مردم و آبروریزی هم خواهد شد.,-1,Bad
139,انجام نده,بد است چیزی را از شما پنهان می‌کنند که در صورت دانستن انجام نخواهید داد ترکش کنید.,موردی از شما مخفی مانده است که در صورت اطلاع از وجود آن به‌هیچ‌وجه دست به این کار نخواهید زد انجام ندهید.,این معامله با فریب و نیرنگ همراه است و چیزی که در آن فریب و حیله باشد انجام ندادن به ثواب نزدیکتر است پس انجام ندهید.,-1,Bad
141,انجام بده,خوب است با توکل به‌خدا اقدام کنید و در انجام واجبات دینی کوشا باشید.,خوب است همه‌ی مطالب را در اول کار بگویید و با توکل به‌خدا اقدام کنید.,با توکل به‌خدا و با حفظ موازین شرعی اقدام کنید ان‌شاءالله سود خواهید برد.,1,Good
143,انجام نده,بد است گرفتاری و مصیبت دارد انجام ندهید.,مورد مناسبی نیست از انجامش صرف نظر کنید و به‌خدا توکل کنید ان‌شاءالله مورد مناسبین صیبتان خواهد شد.,دچار ضرر و زیان خواهید شد آن هم پس از گرفتاری‌های زیاد انجام ندهید.,-1,Bad
145,انجام نده,بد است هر چند ظاهر دلفریبی دارد، در باطن بد است انجام ندهید.,باطن افراد آن چیزی نیست که شما مشاهده می‌کنید در صورت انجام به‌شدت پشیمان خواهید شد.,در این معامله خیری نیست انجام ندهید.,-1,Bad
147,اختیار با توست,میانه خوب است با بررسی همه‌ی جوانب با اهل خبره اقدام کنید.,میانه خوب است با تحقیق و بررسی همه‌ی جوانب و مسائل و تمام کردن حرفهایتان اقدام کنید.,در صورت بررسی همه‌ی جوانب و تنظیم‌یک قرار داد با لحاظ همه‌ی مسائل خوب است و الا خیر.,0,Neutral
149,انجام نده,بد است دچار مال حرام خواهید شد و تمام زندگیتان تحت تاثیر آن قرار خواهد گرفت ترک کنید.,دچار تعهداتی می‌شوید که از توان شما خارج است از انجام آن منصرف شوید و الا ...,مال حرام وارد زندگیتان می‌شود و شما را به نابودی می‌کشاند ترک کنید.,-1,Bad
151,حتما انجام بده,بسیار خوب است نترس و با توکل به‌خدا انجام بده.,ان‌شاءالله که مبارک است مورد خوبی است و شریک زندگی مناسبی برای شماست.,با توکل به‌خدا انجام بده ان‌شاءالله که پر سود و منفعت است.,2,VeryGood
153,انجام نده,بد است انجام نده که جزو زیانکاران خواهی بود.,این ازدواج باعث آبروریزی خواهد بود و در صورت انجام هر روز به خود لعنت خواهید فرستاد.,ضرر هنگفتی در اثر این معامله خواهید کرد اگرمنصرف نشوید والا دچار سختی و ناراحتی می‌شوی.,-1,Bad
155,انجام نده,بسیار بد است انجام ندهید که به‌شدت پشیمان خواهید شد.,مورد لعن و نفرین قرار می‌گیرید و پشیمان خواهید شد پس از همین الان فکرش را از سر بیرون کنید.,این معامله سود که ندارد هیچ و ضرر هنگفتی هم نصیبتان خواهد شد، پس ترک کنید.,-1,Bad
157,انجام بده,خوب است با توکل به‌خدا اقدام کنید ان‌شاءالله که نتیجه‌ی آن را خواهید دید.,خوب است ولی همه‌ی مسائل را همان اول بگویید و با تحقیق و توکل به‌خدا اقدام کنید.,خوب است با رعایت موازین شرعی اقدام کنید.,1,Good
